event_name,start_date,end_date,location,organization_url,cfp_url,sponsors,cfp_due_date,organization_name,region,paid_or_free,event_url,tags,event_type,price_range,acronym,url_twitter,url_linkedin,image_url,language,featured,hash_tag,virtual,in_person,price,code_of_conduct_url,url_other
PyCon US 2022,2022-04-27,2022-05-03,"Salt Lake City, UT, USA",https://www.python.org/psf/,,,,Python Software Foundation,Canada / USA,,https://us.pycon.org/2022/,python,Conference,,,,,,"English,Spanish",0.0,,Yes,Yes,,,
WWC Connect 2022,2022-05-26,2022-05-26,Online,https://www.womenwhocode.com/,,,,Women Who Code,Online,,https://hopin.com/events/connect-recharge-2022/registration,women-focused,Conference,,WWC,,,,English,0.0,,Yes,No,,,
GraphConnect 2022,2022-06-06,2022-06-08,"Austin, TX, USA",https://neo4j.com/,,,,Neo4j,Canada / USA,,https://neo4j.com/event/graphconnect-2022/,graphs,Conference,,,,,,English,0.0,,Unknown,Yes,,,
ODSC Europe 2022,2022-06-15,2022-06-16,"London, UK",,,,,Open Data Science,Europe,,https://odsc.com/europe/,,Conference,,,,,,,0.0,,,Yes,,,
useR! 2022,2022-06-20,2022-06-23,Online,https://www.r-project.org/foundation/,,,,R Foundation,Online,,https://user2022.r-project.org,rstats,Conference,,,,,,,0.0,,Yes,No,,,
ACM FaCCT 2022,2022-06-21,2022-06-24,South Korea,https://www.acm.org/,,,,ACM,Asia,,https://facctconference.org,AI ethics,Conference,,FaaCT,,,,English,0.0,,Yes,Yes,,,
ISBA World Meeting,2022-06-26,2022-07-01,"Montreal, Quebec, Canada",https://isbawebmaster.github.io/ISBA2022/,,,,ISBA,Canada / USA,,https://isbawebmaster.github.io/ISBA2022/,,Conference,,ISBA,,,,,0.0,,,Yes,,,
Wikimania,2022-07-01,2022-07-02,Online,,,,,Wikimedia,Online,,https://meta.wikimedia.org/wiki/Celtic_Knot_Conference_2022/Knot_together,,Conference,,,,,,,0.0,,Yes,No,,,
COLT 2022 (Conf on Learning Theory),2022-07-02,2022-07-05,"London, UK",https://learningtheory.org/,,,,Association for Computational Learning,Europe,,https://learningtheory.org/colt2022/,,Conference,,ACL,,,,English,0.0,#COLT2022,Yes,Yes,,https://learningtheory.org/colt2022/code-of-conduct.html,
PyCon Colombia 2022,2022-07-09,2022-07-10,,,,,,,Online,,https://2022.pycon.co,,Conference,,,,,https://2022.pycon.co/img/tickets/background-intro-tickets-regular.png,"Spanish,English",,,Yes,No,,,
Genetic and Evolutionary Computation Conference,2022-07-09,2022-07-13,"Boston, MA, USA",,,,,ACM SIGEVO,Canada / USA,,https://gecco-2022.sigevo.org/HomePage,,Conference,,GECCO,,,,,0.0,,Yes,Yes,,,
North American Chapter of the Association for Computational Linguistics,2022-07-10,2022-07-15,"Seattle, WA, USA",,,,2022-09-12,ACL,Canada / USA,,https://2022.naacl.org,,Conference,,NAACL,,,,,0.0,,Yes,Yes,,,
SciPy 2022,2022-07-11,2022-07-17,"Austin, Texas, USA",https://www.enthought.com/,,,,Enthought,Canada / USA,,https://www.scipy2022.scipy.org,"python, open source",Conference,,,,,,English,0.0,#SciPy,Yes,Yes,,https://www.scipy2022.scipy.org/code-of-conduct,
EuroPython 2022,2022-07-11,2022-07-17,"Dublin, Ireland",https://www.europython-society.org/coc/,,,,EuroPython Society (EPS),Europe,,https://ep2022.europython.eu/,python,Conference,,,,,,English,0.0,,Yes,Yes,,https://www.europython-society.org/coc/,
ICML 2022,2022-07-17,2022-07-23,"Baltimore, MD, USA",https://icml.cc/,,,,Int'l Conf on Machine Learning,Canada / USA,,https://icml.cc/Conferences/2022,"AI, ML, CV",Conference,,ICML,,,,English,0.0,,Yes,Yes,,https://icml.cc/public/CodeOfConduct,
PyData London 2022,2022-07-17,2022-07-19,"London, England",https://numfocus.org,,,,NumFOCUS,Europe,,https://pydata.org/london2022/,python,Conference,,,,,,,0.0,,Unknown,Yes ,,,
rstudio:conf 2022,2022-07-25,2022-07-28,Washington DC USA,,,,,RStudio,Canada / USA,paid,https://www.rstudio.com/conference/,rstats,Conference,$$$$$,,,,,,0.0,,Yes,Yes ,~$2500,,
JuliaCon 2022,2022-07-27,2022-07-29,Online,https://numfocus.org,,,,NumFOCUS,Online,,https://juliacon.org/2022/,julialang,Conference,,,,,https://juliacon.org/assets/2021/img/world_2800.png,English,1.0,,Yes,No,,https://juliacon.org/2022/coc/,
PyOhio 2022,2022-07-30,2022-07-30,Online,https://www.pyohio.org,,,,PyOhio,Online,free,https://www.pyohio.org/2022/,python,Conference,Free,,,,https://www.pyohio.org/2022/static/41ccbae0f703e19faf0c05034138c1d8/03f31/pyohio-logo.webp,English,1.0,,Yes,No,$0,https://www.pyohio.org/2022/about/code-of-conduct,
CarpentryCon 2022,2022-08-01,2022-08-12,Online,https://carpentries.org/,,,,The Carpentries,Online,,https://www.eventbrite.com/e/carpentrycon-2022-tickets-360012566277,education,Conference,,,,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F298964439%2F229790842416%2F1%2Foriginal.20220607-210446?w=800&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C55%2C1200%2C600&s=ec367ae5eee1e5c94a0c427c20dfcb88,English,0.0,,Yes,No,,https://docs.carpentries.org/topic_folders/policies/code-of-conduct.html#,
"Artificial Intelligence, Ethics & Society",2022-08-01,2022-08-03,"Oxford, England, UK",,,,,AAAI/ACM,Europe,paid,https://www.aies-conference.com/2022/,,Conference,$,AIES,,,https://www.aies-conference.com/2021/wp-content/uploads/2017/10/aies-e1507767598500.png,English,0.0,,Yes,Yes,$95-400,Not found,
RustConf,2022-08-05,2022-08-05,"Portland, OR, USA",,,,,,Canada / USA,,https://rustconf.com/,,Conference,,,,,,,0.0,,Yes,Yes,,,
Joint Statistical Meetings,2022-08-06,2022-08-11,Washington DC USA,https://www.amstat.org,,,,ASA,Canada / USA,paid,https://ww2.amstat.org/meetings/jsm/2022/,statistics,Conference,$,JSM,,,https://ww2.amstat.org/meetings/jsm/2022/images/logo.png,English,0.0,,Unknown,Yes,$80-860,https://www.amstat.org/ASA/Meetings/Meeting-Conduct-Policy.aspx,
Wikimania 2022: The Festival Edition,2022-08-11,2022-08-14,Online,,,,,Wikimedia,Online,free,https://meta.wikimedia.org/wiki/Wikimania_2022,,Conference,$0,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Wikimania2022_header_green.svg/1500px-Wikimania2022_header_green.svg.png,English,0.0,,Yes,some,$0,https://meta.wikimedia.org/wiki/Wikimedia_community_code_of_conduct,
